checkout_id,customer_id,cart_amount,items_count,abandonment_stage,minutes_since_abandonment,previous_successful_orders,previous_abandonments,recovery_consent,status,abandoned_at
d0c42cdc,cust_bea641,1513,1,Address,9231,4,0,NO,ABANDONED,2026-08-25 09:06:21
1e742fc8,cust_12e53b,2240,7,Payment,3707,12,4,YES,ABANDONED,2026-08-29 05:10:21
16650cf4,cust_be973f,7553,5,Payment Authentication,7035,4,4,YES,ABANDONED,2026-08-26 21:42:21
fb7deeea,cust_c5cdee,10288,2,Payment Authentication,3414,10,1,YES,ABANDONED,2026-08-29 10:03:21
cac9e138,cust_60138f,1630,3,Address,9053,1,1,YES,ABANDONED,2026-08-25 12:04:21
845ad4a3,cust_622c26,7681,8,Address,3802,4,5,YES,ABANDONED,2026-08-29 03:35:21
2329aca8,cust_dc9a6d,14383,8,Cart,3834,4,5,YES,ABANDONED,2026-08-29 03:03:21
f5c122d3,cust_57231d,13471,4,Payment,8932,3,5,YES,ABANDONED,2026-08-25 14:05:21
0a901ea3,cust_5ab559,4652,3,Cart,2728,12,2,YES,ABANDONED,2026-08-29 21:29:21
45e143fc,cust_3c15c7,13804,5,Payment,7689,11,2,YES,ABANDONED,2026-08-26 10:48:21
5b66e3a0,cust_125157,4760,8,Payment,9808,0,3,YES,ABANDONED,2026-08-24 23:29:21
7e7c69ec,cust_2958b2,10191,5,Cart,3760,10,4,YES,ABANDONED,2026-08-29 04:17:21
e0a4b222,cust_dfb8aa,639,5,Payment,2880,7,4,YES,ABANDONED,2026-08-29 18:57:21
7a958f49,cust_5a1336,4857,3,Payment Authentication,7151,10,3,NO,ABANDONED,2026-08-26 19:46:21
beece26f,cust_9ba095,8000,6,Payment,5270,10,0,NO,ABANDONED,2026-08-28 03:07:21
c7650964,cust_bd9785,5703,7,Payment,4732,10,3,YES,ABANDONED,2026-08-28 12:05:21
4baea69d,cust_244161,9312,1,Payment,5163,4,2,YES,ABANDONED,2026-08-28 04:54:21
c3c39209,cust_5abf1d,12957,7,Payment Authentication,28,10,4,YES,ABANDONED,2026-08-31 18:29:21
74b92e3b,cust_3a4b18,1188,4,Payment,8177,10,3,YES,ABANDONED,2026-08-26 02:40:21
547a8bd4,cust_49d593,3635,5,Payment,4729,7,5,YES,ABANDONED,2026-08-28 12:08:21
830c67c0,cust_6e4985,772,4,Payment,5101,8,0,YES,ABANDONED,2026-08-28 05:56:21
57ba4bfa,cust_1bbba9,1827,4,Payment Authentication,1868,7,0,YES,ABANDONED,2026-08-30 11:49:21
70d3035b,cust_697fa6,2822,8,Payment Authentication,4791,8,5,YES,ABANDONED,2026-08-28 11:06:21
89e415d0,cust_44d03b,13976,8,Payment Authentication,4003,7,4,YES,ABANDONED,2026-08-29 00:14:21
9e1d9a46,cust_55c8f1,3422,3,Payment Authentication,4536,12,3,YES,ABANDONED,2026-08-28 15:21:21
2010d3f2,cust_68266d,13205,5,Payment Authentication,4644,11,2,YES,ABANDONED,2026-08-28 13:33:21
780a418c,cust_ad096f,9801,8,Payment Authentication,7326,8,3,YES,ABANDONED,2026-08-26 16:51:21
4dd93318,cust_0148df,9342,7,Payment,5282,3,5,YES,ABANDONED,2026-08-28 02:55:21
2f064762,cust_453107,6574,4,Payment Authentication,6740,0,2,YES,ABANDONED,2026-08-27 02:37:21
dac9e308,cust_c9867d,11854,7,Payment,2502,7,0,YES,ABANDONED,2026-08-30 01:15:21
5345c709,cust_6286a4,9969,6,Payment Authentication,7223,1,4,NO,ABANDONED,2026-08-26 18:34:21
3ea00fcb,cust_194c14,551,3,Payment,2539,1,3,YES,ABANDONED,2026-08-30 00:38:21
7c9aa316,cust_426fbc,4642,6,Payment,6522,10,0,NO,ABANDONED,2026-08-27 06:15:21
277786dc,cust_4689f9,14264,7,Payment Authentication,8004,8,0,YES,ABANDONED,2026-08-26 05:33:21
a94dbe13,cust_a05aa6,4146,5,Payment Authentication,1490,6,0,YES,ABANDONED,2026-08-30 18:07:21
02217bc3,cust_3d7733,11832,2,Payment,4916,0,0,YES,ABANDONED,2026-08-28 09:01:21
8b6ec23b,cust_030a21,1219,5,Payment,7066,2,1,YES,ABANDONED,2026-08-26 21:11:21
7f119b56,cust_a7d18e,9572,3,Address,1303,9,3,YES,ABANDONED,2026-08-30 21:14:21
f0db10e2,cust_851bb0,4245,8,Payment Authentication,2354,3,3,YES,ABANDONED,2026-08-30 03:43:21
ef8d5973,cust_3043e7,7829,5,Payment,7632,4,5,YES,ABANDONED,2026-08-26 11:45:21
827b9a9c,cust_a743c6,1510,8,Payment Authentication,9636,4,5,NO,ABANDONED,2026-08-25 02:21:21
84f3a48a,cust_0fdc13,11610,5,Payment,4959,3,3,NO,ABANDONED,2026-08-28 08:18:21
7b220a02,cust_43d64e,2047,4,Payment,5891,9,2,NO,ABANDONED,2026-08-27 16:46:21
ac610ad5,cust_524d13,5137,1,Payment Authentication,6494,4,0,YES,ABANDONED,2026-08-27 06:43:21
1adbd975,cust_1dc416,11536,1,Payment Authentication,8148,4,1,YES,ABANDONED,2026-08-26 03:09:21
804e892b,cust_13c37a,6072,4,Payment,4116,10,5,YES,ABANDONED,2026-08-28 22:21:21
708cd6a9,cust_7ab08b,11455,3,Payment,655,4,3,YES,ABANDONED,2026-08-31 08:02:21
68265477,cust_b6ac9b,6277,3,Cart,4845,5,5,YES,ABANDONED,2026-08-28 10:12:21
7ec7234d,cust_d8b752,3589,3,Payment Authentication,6004,8,4,NO,ABANDONED,2026-08-27 14:53:21
b8d55c79,cust_56ff10,13906,3,Address,7904,12,2,YES,ABANDONED,2026-08-26 07:13:21
db39327e,cust_2eb5cb,5849,2,Payment,1243,2,1,NO,ABANDONED,2026-08-30 22:14:21
fc017ca8,cust_0d9aae,12165,7,Payment Authentication,9141,5,0,YES,ABANDONED,2026-08-25 10:36:21
94d11c39,cust_0faef0,528,5,Payment,7461,5,5,YES,ABANDONED,2026-08-26 14:36:21
2ac4040c,cust_a6c4fb,4595,7,Payment Authentication,6096,1,5,YES,ABANDONED,2026-08-27 13:21:21
b5c48416,cust_e6dc0e,710,6,Payment Authentication,3636,10,0,YES,ABANDONED,2026-08-29 06:21:21
9794b62c,cust_c3fd25,7906,5,Payment,1921,2,0,NO,ABANDONED,2026-08-30 10:56:21
7d9df806,cust_c7c82b,5286,8,Cart,3856,8,1,YES,ABANDONED,2026-08-29 02:41:21
fd817228,cust_9d931d,6378,7,Payment,2541,6,5,YES,ABANDONED,2026-08-30 00:36:21
575ed2ee,cust_3ac8c9,8317,7,Payment Authentication,4593,0,5,YES,ABANDONED,2026-08-28 14:24:21
2d310d76,cust_9e40b9,7564,8,Payment Authentication,5952,1,5,YES,ABANDONED,2026-08-27 15:45:21
e885f5e9,cust_da8b81,10864,6,Cart,4530,3,0,NO,ABANDONED,2026-08-28 15:27:21
77e9a529,cust_609c58,13803,8,Cart,3485,10,5,YES,ABANDONED,2026-08-29 08:52:21
d9151ed8,cust_3fd0d2,649,1,Payment Authentication,4000,2,4,YES,ABANDONED,2026-08-29 00:17:21
2222a750,cust_b037ca,13895,4,Payment,3827,5,1,YES,ABANDONED,2026-08-29 03:10:21
544f57a8,cust_a2eba0,10064,1,Address,2380,2,4,YES,ABANDONED,2026-08-30 03:17:21
97210b0e,cust_03f72d,3158,2,Payment,432,2,0,YES,ABANDONED,2026-08-31 11:45:21
db160048,cust_81e9e7,13217,4,Payment,268,2,2,YES,ABANDONED,2026-08-31 14:29:21
ea6272a2,cust_b50095,12452,7,Payment,1051,7,3,YES,ABANDONED,2026-08-31 01:26:21
61144dac,cust_7984c7,8708,2,Payment,3639,9,0,YES,ABANDONED,2026-08-29 06:18:21
1e666823,cust_a7de21,14504,5,Payment,520,0,3,YES,ABANDONED,2026-08-31 10:17:21
f1e8e9c6,cust_75f17e,7284,2,Payment,7277,1,0,YES,ABANDONED,2026-08-26 17:40:21
b8b90bb2,cust_97b422,2730,2,Cart,9600,8,5,YES,ABANDONED,2026-08-25 02:57:21
a04dd2ca,cust_478344,10087,5,Payment,9929,6,0,YES,ABANDONED,2026-08-24 21:28:21
a2161c75,cust_d69eb2,2174,4,Payment,3753,6,2,YES,ABANDONED,2026-08-29 04:24:21
dc6eb1e0,cust_8251d7,6832,7,Payment,5130,6,2,YES,ABANDONED,2026-08-28 05:27:21
07cf1b07,cust_8fa1c5,6432,3,Payment,7780,1,0,YES,ABANDONED,2026-08-26 09:17:21
84756848,cust_ce661f,1827,7,Cart,6115,12,1,YES,ABANDONED,2026-08-27 13:02:21
a24a683c,cust_a74a05,9908,6,Payment,6740,5,5,NO,ABANDONED,2026-08-27 02:37:21
59865b19,cust_08b64e,7229,1,Payment Authentication,9847,4,2,YES,ABANDONED,2026-08-24 22:50:21
c32e0b6d,cust_a2ca8d,8613,4,Address,7910,3,0,YES,ABANDONED,2026-08-26 07:07:21
