transaction_id,amount,payment_method,status,failure_reason,created_at
c91a19ab,2324,Credit Card,SUCCESS,,2026-08-29 00:04:21
8eaa7f2d,4157,Debit Card,SUCCESS,,2026-08-25 14:01:21
57e28ca8,1924,UPI,FAILED,Network Error,2026-08-29 03:25:21
90f18220,8779,Credit Card,FAILED,Card Declined,2026-08-25 14:08:21
7b9bd535,7373,Debit Card,FAILED,Bank Timeout,2026-08-31 17:10:21
aa5af426,3115,UPI,FAILED,Network Error,2026-08-27 23:02:21
934f3a9a,2174,Credit Card,FAILED,Bank Timeout,2026-08-27 21:01:21
e6f8eb58,4833,Credit Card,SUCCESS,,2026-08-25 16:31:21
f8a2600c,2545,UPI,FAILED,Bank Timeout,2026-08-27 16:11:21
9f374abc,9959,Debit Card,SUCCESS,,2026-08-31 06:26:21
b804a8b5,4233,Net Banking,SUCCESS,,2026-08-29 03:22:21
6162a42a,2154,UPI,FAILED,Payment Gateway Error,2026-08-27 15:19:21
cb4ea6ae,3164,Net Banking,FAILED,Card Declined,2026-08-30 23:27:21
78c2d38d,3303,Debit Card,FAILED,Bank Timeout,2026-08-25 10:51:21
431aac02,4098,Net Banking,SUCCESS,,2026-08-31 03:40:21
126de413,4252,Credit Card,SUCCESS,,2026-08-27 05:24:21
6367e94d,4886,Credit Card,FAILED,Insufficient Funds,2026-08-28 05:01:21
73a4364f,3983,UPI,FAILED,Insufficient Funds,2026-08-26 13:39:21
e2ea9cb2,2840,Net Banking,FAILED,Card Declined,2026-08-25 15:46:21
f65647d1,4804,UPI,SUCCESS,,2026-08-27 05:53:21
21460789,6430,Debit Card,SUCCESS,,2026-08-30 05:10:21
bcbf1c76,8848,UPI,FAILED,Network Error,2026-08-30 13:00:21
542bdf3c,3004,Debit Card,SUCCESS,,2026-08-26 23:40:21
d9eab7cb,1540,UPI,FAILED,Insufficient Funds,2026-08-25 18:27:21
e5d6c931,4619,Credit Card,FAILED,Network Error,2026-08-25 16:19:21
247f135d,4871,Net Banking,FAILED,Bank Timeout,2026-08-26 15:03:21
d1f22bca,553,Net Banking,SUCCESS,,2026-08-29 18:09:21
8d046d94,8817,Credit Card,SUCCESS,,2026-08-28 09:27:21
756e4230,8817,Debit Card,FAILED,Card Declined,2026-08-25 15:39:21
5a559c82,9189,Credit Card,FAILED,Payment Gateway Error,2026-08-30 12:24:21
e14f5d90,6447,Net Banking,FAILED,Network Error,2026-08-25 08:01:21
f0018989,1790,Credit Card,SUCCESS,,2026-08-31 00:03:21
f47a6054,9227,Debit Card,FAILED,Payment Gateway Error,2026-08-25 12:49:21
c136e5e0,3205,Net Banking,FAILED,Payment Gateway Error,2026-08-29 09:06:21
f90b462b,9335,Debit Card,SUCCESS,,2026-08-27 05:59:21
5fcebbbc,6618,UPI,SUCCESS,,2026-08-26 15:39:21
b96251b4,2482,Debit Card,FAILED,Bank Timeout,2026-08-25 02:18:21
d2f295ad,9575,Debit Card,FAILED,Network Error,2026-08-31 02:52:21
08199618,4250,Credit Card,SUCCESS,,2026-08-28 00:43:21
566fc35f,1660,Debit Card,FAILED,Payment Gateway Error,2026-08-25 15:42:21
4f138bcd,2667,UPI,FAILED,Payment Gateway Error,2026-08-27 03:47:21
cb3f20f6,3619,Credit Card,FAILED,Bank Timeout,2026-08-26 23:17:21
df926ec6,7235,UPI,SUCCESS,,2026-08-31 04:09:21
c26e48a0,2112,Credit Card,FAILED,Bank Timeout,2026-08-30 13:06:21
c9aa491f,4573,Debit Card,FAILED,Bank Timeout,2026-08-26 23:44:21
e70bc2d7,3506,Net Banking,FAILED,Insufficient Funds,2026-08-30 22:21:21
f056d4d1,7760,Credit Card,FAILED,Insufficient Funds,2026-08-31 14:55:21
3a822dce,2028,Debit Card,FAILED,Payment Gateway Error,2026-08-29 08:34:21
5c47eaea,7070,Credit Card,FAILED,Network Error,2026-08-27 08:20:21
05a64e97,4845,UPI,FAILED,Card Declined,2026-08-25 11:11:21
5ca747a8,8473,Debit Card,FAILED,Network Error,2026-08-31 02:58:21
10ed75e8,9989,Credit Card,SUCCESS,,2026-08-31 03:20:21
9da098cd,1321,UPI,FAILED,Insufficient Funds,2026-08-29 23:57:21
7b421611,1431,Credit Card,SUCCESS,,2026-08-31 00:14:21
bc14e511,1613,Debit Card,FAILED,Insufficient Funds,2026-08-25 07:23:21
826527c7,4533,Credit Card,FAILED,Bank Timeout,2026-08-25 03:34:21
fd477b28,9760,Net Banking,SUCCESS,,2026-08-29 11:10:21
5e17c297,5647,Debit Card,FAILED,Network Error,2026-08-28 09:01:21
4a05aa69,7991,Net Banking,SUCCESS,,2026-08-30 23:08:21
14fe192c,652,UPI,FAILED,Payment Gateway Error,2026-08-30 15:38:21
bcbe0ae6,1700,Debit Card,FAILED,Network Error,2026-08-27 19:38:21
55c24399,1627,Debit Card,FAILED,Network Error,2026-08-25 14:36:21
2902dada,5456,Credit Card,FAILED,Payment Gateway Error,2026-08-30 14:39:21
27b727e3,2700,Net Banking,FAILED,Network Error,2026-08-25 11:52:21
f6bf0a14,3046,Net Banking,FAILED,Network Error,2026-08-27 21:19:21
fb825cd0,3835,Net Banking,FAILED,Bank Timeout,2026-08-31 05:04:21
247f479d,2012,UPI,SUCCESS,,2026-08-31 06:54:21
f40eb16e,558,Net Banking,SUCCESS,,2026-08-28 19:25:21
b6773907,3147,UPI,FAILED,Bank Timeout,2026-08-31 16:18:21
f2b7f774,2332,Credit Card,SUCCESS,,2026-08-30 02:14:21
5d704c6d,9438,Credit Card,SUCCESS,,2026-08-25 03:53:21
00360549,9552,Debit Card,FAILED,Network Error,2026-08-27 15:22:21
373005fe,1153,Net Banking,FAILED,Network Error,2026-08-30 14:52:21
c9c51e02,6294,UPI,SUCCESS,,2026-08-30 00:44:21
65e0052e,4378,Debit Card,SUCCESS,,2026-08-29 18:36:21
2aba4e35,7255,Credit Card,FAILED,Insufficient Funds,2026-08-27 02:31:21
88d0b4a7,4565,Net Banking,FAILED,Card Declined,2026-08-27 10:29:21
83dee3d1,1134,UPI,FAILED,Card Declined,2026-08-26 13:15:21
82785dcd,6228,Net Banking,SUCCESS,,2026-08-29 04:48:21
86a96d93,4152,Credit Card,FAILED,Bank Timeout,2026-08-28 14:52:21
3e219cd8,1637,Net Banking,FAILED,Payment Gateway Error,2026-08-25 16:31:21
f9fa2376,5925,Credit Card,FAILED,Insufficient Funds,2026-08-29 18:11:21
5db62440,4849,Credit Card,FAILED,Bank Timeout,2026-08-28 05:17:21
0b788a51,7649,Credit Card,FAILED,Payment Gateway Error,2026-08-28 21:23:21
522fca38,1227,UPI,FAILED,Insufficient Funds,2026-08-25 15:55:21
f9b62318,3728,Net Banking,FAILED,Insufficient Funds,2026-08-28 00:47:21
c08f4ff3,5643,Credit Card,SUCCESS,,2026-08-28 08:56:21
f9149f81,8808,Net Banking,FAILED,Bank Timeout,2026-08-28 10:12:21
65034f17,9583,Debit Card,FAILED,Card Declined,2026-08-27 11:25:21
159dd78e,3351,Net Banking,FAILED,Card Declined,2026-08-28 07:58:21
76baa8af,5200,Debit Card,FAILED,Payment Gateway Error,2026-08-28 02:57:21
12f11678,8118,UPI,FAILED,Network Error,2026-08-26 09:44:21
f6ca8c4e,3280,Credit Card,FAILED,Card Declined,2026-08-27 23:25:21
eff928cd,2030,Debit Card,FAILED,Network Error,2026-08-29 12:34:21
8451b453,2914,Credit Card,FAILED,Insufficient Funds,2026-08-24 20:01:21
dc952dda,1693,UPI,FAILED,Payment Gateway Error,2026-08-29 13:51:21
0261df81,6791,UPI,FAILED,Network Error,2026-08-31 17:26:21
318df604,2246,UPI,FAILED,Card Declined,2026-08-25 21:30:21
707633f1,8111,Credit Card,FAILED,Insufficient Funds,2026-08-30 09:48:21
3306b04f,7978,Debit Card,SUCCESS,,2026-08-25 17:54:21
2130cd70,9657,Net Banking,SUCCESS,,2026-08-26 18:05:21
a41533fc,8770,UPI,SUCCESS,,2026-08-25 13:20:21
e1ee2689,7805,Debit Card,SUCCESS,,2026-08-26 09:19:21
f557980d,7873,Net Banking,SUCCESS,,2026-08-28 15:13:21
f93de169,9040,UPI,FAILED,Bank Timeout,2026-08-30 21:47:21
612bb3df,5181,Debit Card,FAILED,Bank Timeout,2026-08-25 15:27:21
